county,state,region,zone
BURKE,NC,4.0,2.0
CABARRUS,NC,4.0,3.0
CALDWELL,NC,4.0,2.0
CAMDEN,NC,4.0,3.0
CARTERET,NC,4.0,3.0
CASWELL,NC,4.0,2.0
CATAWBA,NC,4.0,2.0
CHATHAM,NC,4.0,3.0
CHEROKEE,NC,4.0,1.0
CHOWAN,NC,4.0,3.0
CLAY,NC,4.0,2.0
CLEVELAND,NC,4.0,2.0
COLUMBUS,NC,4.0,3.0
CRAVEN,NC,4.0,3.0
CUMBERLAND,NC,4.0,3.0
CURRITUCK,NC,4.0,3.0
DARE,NC,4.0,3.0
DAVIDSON,NC,4.0,3.0
DAVIE,NC,4.0,3.0
DUPLIN,NC,4.0,3.0
DURHAM,NC,4.0,3.0
EDGECOMBE,NC,4.0,3.0
FORSYTH,NC,4.0,2.0
FRANKLIN,NC,4.0,2.0
GASTON,NC,4.0,2.0
GATES,NC,4.0,3.0
GRAHAM,NC,4.0,2.0
GRANVILLE,NC,4.0,3.0
GREENE,NC,4.0,3.0
GUILFORD,NC,4.0,3.0
HALIFAX,NC,4.0,3.0
HARNETT,NC,4.0,3.0
HAYWOOD,NC,4.0,2.0
HENDERSON,NC,4.0,1.0
HERTFORD,NC,4.0,3.0
HOKE,NC,4.0,3.0
HYDE,NC,4.0,3.0
IREDELL,NC,4.0,2.0
JACKSON,NC,4.0,2.0
JOHNSTON,NC,4.0,3.0
JONES,NC,4.0,3.0
LEE,NC,4.0,3.0
LENOIR,NC,4.0,3.0
LINCOLN,NC,4.0,2.0
MCDOWELL,NC,4.0,2.0
MACON,NC,4.0,2.0
MADISON,NC,4.0,2.0
MARTIN,NC,4.0,3.0
MECKLENBURG,NC,4.0,3.0
MITCHELL,NC,4.0,1.0
MONTGOMERY,NC,4.0,3.0
MOORE,NC,4.0,3.0
NASH,NC,4.0,3.0
NEW HANOVER,NC,4.0,3.0
NORTHAMPTON,NC,4.0,3.0
ONSLOW,NC,4.0,3.0
ORANGE,NC,4.0,3.0
PAMLICO,NC,4.0,3.0
PASQUOTANK,NC,4.0,3.0
PENDER,NC,4.0,3.0
PERQUIMANS,NC,4.0,3.0
PERSON,NC,4.0,3.0
PITT,NC,4.0,3.0
POLK,NC,4.0,2.0
RANDOLPH,NC,4.0,3.0
RICHMOND,NC,4.0,3.0
ROBESON,NC,4.0,3.0
ROCKINGHAM,NC,4.0,1.0
ROWAN,NC,4.0,3.0
RUTHERFORD,NC,4.0,2.0
SAMPSON,NC,4.0,3.0
SCOTLAND,NC,4.0,3.0
STANLY,NC,4.0,3.0
STOKES,NC,4.0,2.0
SURRY,NC,4.0,2.0
SWAIN,NC,4.0,2.0
TRANSYLVANIA,NC,4.0,1.0
TYRRELL,NC,4.0,3.0
UNION,NC,4.0,3.0
VANCE,NC,4.0,2.0
WAKE,NC,4.0,2.0
WARREN,NC,4.0,2.0
WASHINGTON,NC,4.0,3.0
WATAUGA,NC,4.0,1.0
WAYNE,NC,4.0,3.0
WILKES,NC,4.0,2.0
WILSON,NC,4.0,3.0
YADKIN,NC,4.0,2.0
YANCEY,NC,4.0,2.0
ADAMS,ND,8.0,1.0
BARNES,ND,8.0,1.0
BENSON,ND,8.0,1.0
BILLINGS,ND,8.0,1.0
BOTTINEAU,ND,8.0,1.0
BOWMAN,ND,8.0,1.0
BURKE,ND,8.0,1.0
BURLEIGH,ND,8.0,1.0
CASS,ND,8.0,1.0
CAVALIER,ND,8.0,1.0
DICKEY,ND,8.0,1.0
DIVIDE,ND,8.0,1.0
DUNN,ND,8.0,1.0
EDDY,ND,8.0,1.0
EMMONS,ND,8.0,1.0
FOSTER,ND,8.0,1.0
GOLDEN VALLEY,ND,8.0,1.0
GRAND FORKS,ND,8.0,1.0
GRANT,ND,8.0,1.0
GRIGGS,ND,8.0,1.0
HETTINGER,ND,8.0,1.0
KIDDER,ND,8.0,1.0
LA MOURE,ND,8.0,1.0
LOGAN,ND,8.0,1.0
MCHENRY,ND,8.0,1.0
MCINTOSH,ND,8.0,1.0
MCKENZIE,ND,8.0,1.0
MCLEAN,ND,8.0,1.0
MERCER,ND,8.0,1.0
MORTON,ND,8.0,1.0
MOUNTRAIL,ND,8.0,1.0
NELSON,ND,8.0,1.0
OLIVER,ND,8.0,1.0
PEMBINA,ND,8.0,1.0
PIERCE,ND,8.0,1.0
RAMSEY,ND,8.0,1.0
RANSOM,ND,8.0,1.0
RENVILLE,ND,8.0,1.0
RICHLAND,ND,8.0,1.0
ROLETTE,ND,8.0,1.0
SARGENT,ND,8.0,1.0
SHERIDAN,ND,8.0,1.0
SIOUX,ND,8.0,1.0
SLOPE,ND,8.0,1.0
STARK,ND,8.0,1.0
STEELE,ND,8.0,1.0
STUTSMAN,ND,8.0,1.0
TOWNER,ND,8.0,1.0
TRAILL,ND,8.0,1.0
WALSH,ND,8.0,1.0
WARD,ND,8.0,1.0
WELLS,ND,8.0,1.0
WILLIAMS,ND,8.0,1.0
ADAMS,OH,5.0,1.0
ALLEN,OH,5.0,1.0
ASHLAND,OH,5.0,1.0
ASHTABULA,OH,5.0,2.0
ATHENS,OH,5.0,2.0
AUGLAIZE,OH,5.0,1.0
BELMONT,OH,5.0,1.0
BROWN,OH,5.0,2.0
BUTLER,OH,5.0,1.0
CARROLL,OH,5.0,1.0
CHAMPAIGN,OH,5.0,1.0
CLARK,OH,5.0,1.0
CLERMONT,OH,5.0,2.0
CLINTON,OH,5.0,1.0
COLUMBIANA,OH,5.0,1.0
COSHOCTON,OH,5.0,1.0
CRAWFORD,OH,5.0,1.0
CUYAHOGA,OH,5.0,2.0
DARKE,OH,5.0,1.0
DEFIANCE,OH,5.0,2.0
DELAWARE,OH,5.0,1.0
ERIE,OH,5.0,2.0
FAIRFIELD,OH,5.0,1.0
FAYETTE,OH,5.0,1.0
FRANKLIN,OH,5.0,1.0
FULTON,OH,5.0,2.0
GALLIA,OH,5.0,2.0
GEAUGA,OH,5.0,2.0
GREENE,OH,5.0,1.0
GUERNSEY,OH,5.0,1.0
HAMILTON,OH,5.0,1.0
HANCOCK,OH,5.0,1.0
HARDIN,OH,5.0,1.0
HARRISON,OH,5.0,1.0
HENRY,OH,5.0,2.0
HIGHLAND,OH,5.0,2.0
HOCKING,OH,5.0,2.0
HOLMES,OH,5.0,1.0
HURON,OH,5.0,1.0
JACKSON,OH,5.0,2.0
JEFFERSON,OH,5.0,1.0
KNOX,OH,5.0,1.0
LAKE,OH,5.0,2.0
LAWRENCE,OH,5.0,2.0
LICKING,OH,5.0,1.0
LOGAN,OH,5.0,1.0
LORAIN,OH,5.0,2.0
LUCAS,OH,5.0,2.0
MADISON,OH,5.0,1.0
MAHONING,OH,5.0,2.0
MARION,OH,5.0,1.0
MEDINA,OH,5.0,2.0
MEIGS,OH,5.0,2.0
MERCER,OH,5.0,1.0
MIAMI,OH,5.0,1.0
MONROE,OH,5.0,2.0
MONTGOMERY,OH,5.0,1.0
MORGAN,OH,5.0,2.0
MORROW,OH,5.0,1.0
MUSKINGUM,OH,5.0,1.0
NOBLE,OH,5.0,2.0
OTTAWA,OH,5.0,2.0
PAULDING,OH,5.0,2.0
PERRY,OH,5.0,1.0
PICKAWAY,OH,5.0,1.0
PIKE,OH,5.0,1.0
PORTAGE,OH,5.0,2.0
PREBLE,OH,5.0,1.0
PUTNAM,OH,5.0,2.0
RICHLAND,OH,5.0,1.0
ROSS,OH,5.0,1.0
SANDUSKY,OH,5.0,2.0
SCIOTO,OH,5.0,2.0
SENECA,OH,5.0,1.0
SHELBY,OH,5.0,1.0
STARK,OH,5.0,1.0
SUMMIT,OH,5.0,1.0
TRUMBULL,OH,5.0,2.0
TUSCARAWAS,OH,5.0,1.0
UNION,OH,5.0,1.0
VAN WERT,OH,5.0,1.0
VINTON,OH,5.0,2.0
WARREN,OH,5.0,1.0
WASHINGTON,OH,5.0,2.0
WAYNE,OH,5.0,1.0
WILLIAMS,OH,5.0,2.0
WOOD,OH,5.0,2.0
WYANDOT,OH,5.0,1.0
ADAIR,OK,6.0,2.0
ALFALFA,OK,6.0,3.0
ATOKA,OK,6.0,3.0
BEAVER,OK,6.0,2.0
BECKHAM,OK,6.0,3.0
BLAINE,OK,6.0,3.0
BRYAN,OK,6.0,3.0
CADDO,OK,6.0,3.0
CANADIAN,OK,6.0,3.0
CARTER,OK,6.0,3.0
CHEROKEE,OK,6.0,2.0
CHOCTAW,OK,6.0,3.0
CIMARRON,OK,6.0,2.0
CLEVELAND,OK,6.0,3.0
COAL,OK,6.0,3.0
COMANCHE,OK,6.0,3.0
COTTON,OK,6.0,3.0
CRAIG,OK,6.0,3.0
CREEK,OK,6.0,3.0
CUSTER,OK,6.0,3.0
DELAWARE,OK,6.0,2.0
DEWEY,OK,6.0,3.0
ELLIS,OK,6.0,2.0
GARFIELD,OK,6.0,3.0
GARVIN,OK,6.0,3.0
GRADY,OK,6.0,3.0
GRANT,OK,6.0,3.0
GREER,OK,6.0,3.0
HARMON,OK,6.0,3.0
HARPER,OK,6.0,3.0
HASKELL,OK,6.0,3.0
HUGHES,OK,6.0,3.0
JACKSON,OK,6.0,3.0
JEFFERSON,OK,6.0,3.0
JOHNSTON,OK,6.0,3.0
KAY,OK,6.0,3.0
KINGFISHER,OK,6.0,3.0
KIOWA,OK,6.0,3.0
LATIMER,OK,6.0,3.0
LE FLORE,OK,6.0,3.0
LINCOLN,OK,6.0,3.0
LOGAN,OK,6.0,3.0
LOVE,OK,6.0,3.0
MCCLAIN,OK,6.0,3.0
MCCURTAIN,OK,6.0,3.0
MCINTOSH,OK,6.0,3.0
MAJOR,OK,6.0,3.0
MARSHALL,OK,6.0,3.0
MAYES,OK,6.0,2.0
MURRAY,OK,6.0,3.0
MUSKOGEE,OK,6.0,3.0
NOBLE,OK,6.0,3.0
NOWATA,OK,6.0,3.0
OKFUSKEE,OK,6.0,3.0
OKLAHOMA,OK,6.0,3.0
OKMULGEE,OK,6.0,3.0
OSAGE,OK,6.0,3.0
OTTAWA,OK,6.0,3.0
PAWNEE,OK,6.0,3.0
PAYNE,OK,6.0,3.0
PITTSBURG,OK,6.0,3.0
PONTOTOC,OK,6.0,3.0
POTTAWATOMIE,OK,6.0,3.0
PUSHMATAHA,OK,6.0,3.0
ROGER MILLS,OK,6.0,3.0
ROGERS,OK,6.0,3.0
SEMINOLE,OK,6.0,3.0
SEQUOYAH,OK,6.0,2.0
STEPHENS,OK,6.0,3.0
TEXAS,OK,6.0,2.0
TILLMAN,OK,6.0,3.0
TULSA,OK,6.0,3.0
WAGONER,OK,6.0,3.0
WASHINGTON,OK,6.0,3.0
WASHITA,OK,6.0,3.0
WOODS,OK,6.0,3.0
WOODWARD,OK,6.0,3.0
BAKER,OR,10.0,2.0
BENTON,OR,10.0,3.0
CLACKAMAS,OR,10.0,3.0
CLATSOP,OR,10.0,2.0
COLUMBIA,OR,10.0,2.0
COOS,OR,10.0,3.0
CROOK,OR,10.0,2.0
CURRY,OR,10.0,3.0
DESCHUTES,OR,10.0,3.0
DOUGLAS,OR,10.0,3.0
GILLIAM,OR,10.0,2.0
GRANT,OR,10.0,2.0
HARNEY,OR,10.0,2.0
HOOD RIVER,OR,10.0,2.0
JACKSON,OR,10.0,3.0
JEFFERSON,OR,10.0,2.0
JOSEPHINE,OR,10.0,3.0
KLAMATH,OR,10.0,2.0
LAKE,OR,10.0,2.0
LANE,OR,10.0,3.0
LINCOLN,OR,10.0,3.0
LINN,OR,10.0,3.0
MALHEUR,OR,10.0,2.0
MARION,OR,10.0,3.0
MORROW,OR,10.0,2.0
MULTNOMAH,OR,10.0,2.0
POLK,OR,10.0,3.0
SHERMAN,OR,10.0,2.0
TILLAMOOK,OR,10.0,3.0
UMATILLA,OR,10.0,2.0
UNION,OR,10.0,2.0
WALLOWA,OR,10.0,3.0
WASCO,OR,10.0,2.0
WASHINGTON,OR,10.0,2.0
WHEELER,OR,10.0,2.0
YAMHILL,OR,10.0,2.0
ADAMS,PA,3.0,1.0
ALLEGHENY,PA,3.0,1.0
ARMSTRONG,PA,3.0,1.0
BEAVER,PA,3.0,1.0
BEDFORD,PA,3.0,1.0
BERKS,PA,3.0,1.0
BLAIR,PA,3.0,1.0
BRADFORD,PA,3.0,1.0
BUCKS,PA,3.0,1.0
BUTLER,PA,3.0,1.0
CAMBRIA,PA,3.0,2.0
CAMERON,PA,3.0,1.0
CARBON,PA,3.0,1.0
CENTRE,PA,3.0,1.0
CHESTER,PA,3.0,1.0
CLARION,PA,3.0,1.0
CLEARFIELD,PA,3.0,1.0
CLINTON,PA,3.0,1.0
COLUMBIA,PA,3.0,1.0
CRAWFORD,PA,3.0,2.0
CUMBERLAND,PA,3.0,1.0
DAUPHIN,PA,3.0,1.0
DELAWARE,PA,3.0,1.0
ELK,PA,3.0,2.0
ERIE,PA,3.0,2.0
FAYETTE,PA,3.0,2.0
FOREST,PA,3.0,2.0
FRANKLIN,PA,3.0,1.0
FULTON,PA,3.0,1.0
GREENE,PA,3.0,2.0
HUNTINGDON,PA,3.0,1.0
INDIANA,PA,3.0,1.0
JEFFERSON,PA,3.0,2.0
JUNIATA,PA,3.0,1.0
LACKAWANNA,PA,3.0,1.0
LANCASTER,PA,3.0,1.0
LAWRENCE,PA,3.0,2.0
LEBANON,PA,3.0,1.0
LEHIGH,PA,3.0,1.0
LUZERNE,PA,3.0,1.0
LYCOMING,PA,3.0,1.0
MCKEAN,PA,3.0,2.0
MERCER,PA,3.0,2.0
MIFFLIN,PA,3.0,1.0
MONROE,PA,3.0,1.0
MONTGOMERY,PA,3.0,1.0
MONTOUR,PA,3.0,1.0
NORTHAMPTON,PA,3.0,1.0
NORTHUMBERLAND,PA,3.0,1.0
PERRY,PA,3.0,1.0
PHILADELPHIA,PA,3.0,3.0
PIKE,PA,3.0,2.0
POTTER,PA,3.0,2.0
SCHUYLKILL,PA,3.0,1.0
SNYDER,PA,3.0,1.0
SOMERSET,PA,3.0,2.0
SULLIVAN,PA,3.0,1.0
SUSQUEHANNA,PA,3.0,1.0
TIOGA,PA,3.0,1.0
UNION,PA,3.0,1.0
VENANGO,PA,3.0,1.0
WARREN,PA,3.0,2.0
WASHINGTON,PA,3.0,2.0
WAYNE,PA,3.0,2.0
WESTMORELAND,PA,3.0,1.0
WYOMING,PA,3.0,1.0
YORK,PA,3.0,1.0
BRISTOL,RI,1.0,3.0
KENT,RI,1.0,1.0
NEWPORT,RI,1.0,2.0
PROVIDENCE,RI,1.0,2.0
WASHINGTON,RI,1.0,1.0
ABBEVILLE,SC,4.0,2.0
AIKEN,SC,4.0,3.0
ALLENDALE,SC,4.0,3.0
ANDERSON,SC,4.0,2.0
BAMBERG,SC,4.0,3.0
BARNWELL,SC,4.0,3.0
BEAUFORT,SC,4.0,3.0
BERKELEY,SC,4.0,3.0
CALHOUN,SC,4.0,3.0
CHARLESTON,SC,4.0,3.0
CHEROKEE,SC,4.0,2.0
CHESTER,SC,4.0,3.0
CHESTERFIELD,SC,4.0,3.0
CLARENDON,SC,4.0,3.0
COLLETON,SC,4.0,3.0
DARLINGTON,SC,4.0,3.0
DILLON,SC,4.0,3.0
DORCHESTER,SC,4.0,3.0
EDGEFIELD,SC,4.0,3.0
FAIRFIELD,SC,4.0,3.0
FLORENCE,SC,4.0,3.0
GEORGETOWN,SC,4.0,3.0
GREENVILLE,SC,4.0,1.0
GREENWOOD,SC,4.0,3.0
HAMPTON,SC,4.0,3.0
HORRY,SC,4.0,3.0
JASPER,SC,4.0,3.0
KERSHAW,SC,4.0,3.0
LANCASTER,SC,4.0,3.0
LAURENS,SC,4.0,2.0
LEE,SC,4.0,3.0
LEXINGTON,SC,4.0,3.0
MCCORMICK,SC,4.0,3.0
MARION,SC,4.0,3.0
MARLBORO,SC,4.0,3.0
NEWBERRY,SC,4.0,3.0
OCONEE,SC,4.0,2.0
ORANGEBURG,SC,4.0,3.0
PICKENS,SC,4.0,2.0
RICHLAND,SC,4.0,3.0
SALUDA,SC,4.0,3.0
SPARTANBURG,SC,4.0,2.0
SUMTER,SC,4.0,3.0
UNION,SC,4.0,3.0
WILLIAMSBURG,SC,4.0,3.0
YORK,SC,4.0,2.0
AURORA,SD,8.0,1.0
BEADLE,SD,8.0,1.0
BENNETT,SD,8.0,2.0
BON HOMME,SD,8.0,1.0
BROOKINGS,SD,8.0,1.0
BROWN,SD,8.0,1.0
BRULE,SD,8.0,1.0
BUFFALO,SD,8.0,1.0
BUTTE,SD,8.0,2.0
CAMPBELL,SD,8.0,1.0
CHARLES MIX,SD,8.0,1.0
CLARK,SD,8.0,1.0
CLAY,SD,8.0,1.0
CODINGTON,SD,8.0,1.0
CORSON,SD,8.0,1.0
CUSTER,SD,8.0,2.0
DAVISON,SD,8.0,1.0
DAY,SD,8.0,1.0
DEUEL,SD,8.0,1.0
DEWEY,SD,8.0,2.0
DOUGLAS,SD,8.0,1.0
EDMUNDS,SD,8.0,1.0
FALL RIVER,SD,8.0,2.0
FAULK,SD,8.0,1.0
GRANT,SD,8.0,1.0
GREGORY,SD,8.0,2.0
HAAKON,SD,8.0,2.0
HAMLIN,SD,8.0,1.0
HAND,SD,8.0,1.0
HANSON,SD,8.0,1.0
HARDING,SD,8.0,2.0
HUGHES,SD,8.0,1.0
HUTCHINSON,SD,8.0,1.0
HYDE,SD,8.0,1.0
JACKSON,SD,8.0,2.0
JERAULD,SD,8.0,1.0
JONES,SD,8.0,2.0
KINGSBURY,SD,8.0,1.0
LAKE,SD,8.0,1.0
LAWRENCE,SD,8.0,2.0
LINCOLN,SD,8.0,1.0
LYMAN,SD,8.0,1.0
MCCOOK,SD,8.0,1.0
MCPHERSON,SD,8.0,1.0
MARSHALL,SD,8.0,1.0
MEADE,SD,8.0,2.0
MELLETTE,SD,8.0,2.0
MINER,SD,8.0,1.0
MINNEHAHA,SD,8.0,1.0
MOODY,SD,8.0,1.0
PENNINGTON,SD,8.0,2.0
PERKINS,SD,8.0,1.0
POTTER,SD,8.0,1.0
ROBERTS,SD,8.0,1.0
SANBORN,SD,8.0,1.0
SHANNON,SD,8.0,2.0
SPINK,SD,8.0,1.0
STANLEY,SD,8.0,1.0
SULLY,SD,8.0,1.0
TODD,SD,8.0,2.0
TRIPP,SD,8.0,2.0
TURNER,SD,8.0,1.0
UNION,SD,8.0,1.0
WALWORTH,SD,8.0,1.0
YANKTON,SD,8.0,1.0
ZIEBACH,SD,8.0,2.0
ANDERSON,TN,4.0,1.0
BEDFORD,TN,4.0,1.0
BENTON,TN,4.0,2.0
BLEDSOE,TN,4.0,3.0
BLOUNT,TN,4.0,1.0
BRADLEY,TN,4.0,1.0
CAMPBELL,TN,4.0,3.0
CANNON,TN,4.0,2.0
CARROLL,TN,4.0,3.0
CARTER,TN,4.0,2.0
CHEATHAM,TN,4.0,2.0
CHESTER,TN,4.0,2.0
CLAIBORNE,TN,4.0,1.0
CLAY,TN,4.0,2.0
COCKE,TN,4.0,2.0
COFFEE,TN,4.0,2.0
CROCKETT,TN,4.0,3.0
CUMBERLAND,TN,4.0,3.0
DAVIDSON,TN,4.0,1.0
DECATUR,TN,4.0,2.0
DEKALB,TN,4.0,2.0
DICKSON,TN,4.0,2.0
DYER,TN,4.0,3.0
FAYETTE,TN,4.0,3.0
FENTRESS,TN,4.0,2.0
FRANKLIN,TN,4.0,3.0
GIBSON,TN,4.0,3.0
GILES,TN,4.0,1.0
GRAINGER,TN,4.0,1.0
GREENE,TN,4.0,1.0
GRUNDY,TN,4.0,3.0
HAMBLEN,TN,4.0,1.0
HAMILTON,TN,4.0,2.0
HANCOCK,TN,4.0,1.0
HARDEMAN,TN,4.0,3.0
HARDIN,TN,4.0,2.0
HAWKINS,TN,4.0,1.0
HAYWOOD,TN,4.0,3.0
HENDERSON,TN,4.0,2.0
HENRY,TN,4.0,3.0
HICKMAN,TN,4.0,1.0
HOUSTON,TN,4.0,2.0
HUMPHREYS,TN,4.0,1.0
JACKSON,TN,4.0,1.0
JEFFERSON,TN,4.0,1.0
JOHNSON,TN,4.0,2.0
KNOX,TN,4.0,1.0
LAKE,TN,4.0,3.0
LAUDERDALE,TN,4.0,3.0
LAWRENCE,TN,4.0,1.0
LEWIS,TN,4.0,1.0
LINCOLN,TN,4.0,1.0
LOUDON,TN,4.0,1.0
MCMINN,TN,4.0,1.0
MCNAIRY,TN,4.0,2.0
MACON,TN,4.0,1.0
MADISON,TN,4.0,1.0
MARION,TN,4.0,2.0
MARSHALL,TN,4.0,1.0
MAURY,TN,4.0,3.0
MEIGS,TN,4.0,1.0
MONROE,TN,4.0,1.0
MONTGOMERY,TN,4.0,2.0
MOORE,TN,4.0,1.0
MORGAN,TN,4.0,3.0
OBION,TN,4.0,3.0
OVERTON,TN,4.0,2.0
PERRY,TN,4.0,1.0
PICKETT,TN,4.0,2.0
POLK,TN,4.0,2.0
PUTNAM,TN,4.0,2.0
RHEA,TN,4.0,3.0
ROANE,TN,4.0,1.0
ROBERTSON,TN,4.0,2.0
RUTHERFORD,TN,4.0,1.0
SCOTT,TN,4.0,3.0
SEQUATCHIE,TN,4.0,3.0
SEVIER,TN,4.0,2.0
SHELBY,TN,4.0,3.0
SMITH,TN,4.0,1.0
STEWART,TN,4.0,2.0
SULLIVAN,TN,4.0,1.0
SUMNER,TN,4.0,2.0
TIPTON,TN,4.0,3.0
TROUSDALE,TN,4.0,1.0
UNICOI,TN,4.0,2.0
UNION,TN,4.0,1.0
VAN BUREN,TN,4.0,2.0
WARREN,TN,4.0,2.0
WASHINGTON,TN,4.0,1.0
WAYNE,TN,4.0,1.0
WEAKLEY,TN,4.0,3.0
WHITE,TN,4.0,2.0
WILLIAMSON,TN,4.0,1.0
WILSON,TN,4.0,1.0
ANDERSON,TX,6.0,3.0
ANDREWS,TX,6.0,3.0
ANGELINA,TX,6.0,3.0
ARANSAS,TX,6.0,3.0
ARCHER,TX,6.0,3.0
ARMSTRONG,TX,6.0,2.0
ATASCOSA,TX,6.0,3.0
AUSTIN,TX,6.0,3.0
BAILEY,TX,6.0,2.0
BANDERA,TX,6.0,3.0
BASTROP,TX,6.0,3.0
BAYLOR,TX,6.0,3.0
BEE,TX,6.0,3.0
BELL,TX,6.0,3.0
BEXAR,TX,6.0,3.0
BLANCO,TX,6.0,3.0
BORDEN,TX,6.0,3.0
BOSQUE,TX,6.0,3.0
BOWIE,TX,6.0,3.0
BRAZORIA,TX,6.0,3.0
BRAZOS,TX,6.0,3.0
BREWSTER,TX,6.0,2.0
BRISCOE,TX,6.0,3.0
BROOKS,TX,6.0,3.0
BROWN,TX,6.0,3.0
BURLESON,TX,6.0,3.0
BURNET,TX,6.0,3.0
CALDWELL,TX,6.0,3.0
CALHOUN,TX,6.0,3.0
CALLAHAN,TX,6.0,3.0
CAMERON,TX,6.0,3.0
CAMP,TX,6.0,3.0
CARSON,TX,6.0,2.0
CASS,TX,6.0,3.0
CASTRO,TX,6.0,2.0
CHAMBERS,TX,6.0,3.0
CHEROKEE,TX,6.0,3.0
CHILDRESS,TX,6.0,3.0
CLAY,TX,6.0,3.0
COCHRAN,TX,6.0,3.0
COKE,TX,6.0,3.0
COLEMAN,TX,6.0,3.0
COLLIN,TX,6.0,3.0
COLLINGSWORTH,TX,6.0,3.0
COLORADO,TX,6.0,3.0
COMAL,TX,6.0,3.0
COMANCHE,TX,6.0,3.0
CONCHO,TX,6.0,3.0
COOKE,TX,6.0,3.0
CORYELL,TX,6.0,3.0
COTTLE,TX,6.0,3.0
CRANE,TX,6.0,3.0
CROCKETT,TX,6.0,3.0
CROSBY,TX,6.0,2.0
CULBERSON,TX,6.0,2.0
DALLAM,TX,6.0,2.0
DALLAS,TX,6.0,3.0
DAWSON,TX,6.0,3.0
DEAF SMITH,TX,6.0,2.0
DELTA,TX,6.0,3.0
DENTON,TX,6.0,3.0
DE WITT,TX,6.0,3.0
DICKENS,TX,6.0,3.0
DIMMIT,TX,6.0,3.0
DONLEY,TX,6.0,2.0
DUVAL,TX,6.0,3.0
EASTLAND,TX,6.0,3.0
ECTOR,TX,6.0,3.0
EDWARDS,TX,6.0,3.0
ELLIS,TX,6.0,3.0
EL PASO,TX,6.0,3.0
ERATH,TX,6.0,3.0
FALLS,TX,6.0,3.0
FANNIN,TX,6.0,3.0
FAYETTE,TX,6.0,3.0
FISHER,TX,6.0,3.0
FLOYD,TX,6.0,2.0
FOARD,TX,6.0,3.0
FORT BEND,TX,6.0,3.0
FRANKLIN,TX,6.0,3.0
FREESTONE,TX,6.0,3.0
FRIO,TX,6.0,3.0
GAINES,TX,6.0,3.0
GALVESTON,TX,6.0,3.0
GARZA,TX,6.0,2.0
GILLESPIE,TX,6.0,3.0
GLASSCOCK,TX,6.0,3.0
GOLIAD,TX,6.0,3.0
GONZALES,TX,6.0,3.0
GRAY,TX,6.0,2.0
GRAYSON,TX,6.0,3.0
GREGG,TX,6.0,3.0
GRIMES,TX,6.0,3.0
GUADALUPE,TX,6.0,3.0
HALE,TX,6.0,2.0
HALL,TX,6.0,3.0
HAMILTON,TX,6.0,3.0
HANSFORD,TX,6.0,2.0
HARDEMAN,TX,6.0,3.0
HARDIN,TX,6.0,3.0
HARRIS,TX,6.0,3.0
HARRISON,TX,6.0,3.0
HARTLEY,TX,6.0,2.0
HASKELL,TX,6.0,3.0
HAYS,TX,6.0,3.0
HEMPHILL,TX,6.0,2.0
HENDERSON,TX,6.0,3.0
HIDALGO,TX,6.0,3.0
HILL,TX,6.0,3.0
HOCKLEY,TX,6.0,2.0
HOOD,TX,6.0,3.0
HOPKINS,TX,6.0,3.0
HOUSTON,TX,6.0,3.0
HOWARD,TX,6.0,3.0
HUDSPETH,TX,6.0,2.0
HUNT,TX,6.0,3.0
HUTCHINSON,TX,6.0,2.0
IRION,TX,6.0,3.0
JACK,TX,6.0,3.0
JACKSON,TX,6.0,3.0
JASPER,TX,6.0,3.0
JEFF DAVIS,TX,6.0,2.0
JEFFERSON,TX,6.0,3.0
JIM HOGG,TX,6.0,3.0
JIM WELLS,TX,6.0,3.0
JOHNSON,TX,6.0,3.0
JONES,TX,6.0,3.0
KARNES,TX,6.0,3.0
KAUFMAN,TX,6.0,3.0
KENDALL,TX,6.0,3.0
KENEDY,TX,6.0,3.0
KENT,TX,6.0,3.0
KERR,TX,6.0,3.0
KIMBLE,TX,6.0,3.0
KING,TX,6.0,3.0
KINNEY,TX,6.0,3.0
KLEBERG,TX,6.0,3.0
KNOX,TX,6.0,3.0
LAMAR,TX,6.0,3.0
LAMB,TX,6.0,2.0
LAMPASAS,TX,6.0,3.0
LA SALLE,TX,6.0,3.0
LAVACA,TX,6.0,3.0
LEE,TX,6.0,3.0
LEON,TX,6.0,3.0
LIBERTY,TX,6.0,3.0
LIMESTONE,TX,6.0,3.0
LIPSCOMB,TX,6.0,2.0
LIVE OAK,TX,6.0,3.0
LLANO,TX,6.0,2.0
LOVING,TX,6.0,3.0
LUBBOCK,TX,6.0,2.0
LYNN,TX,6.0,2.0
MCCULLOCH,TX,6.0,3.0
MCLENNAN,TX,6.0,3.0
MCMULLEN,TX,6.0,3.0
MADISON,TX,6.0,3.0
MARION,TX,6.0,3.0
MARTIN,TX,6.0,3.0
MASON,TX,6.0,2.0
MATAGORDA,TX,6.0,3.0
MAVERICK,TX,6.0,3.0
MEDINA,TX,6.0,3.0
MENARD,TX,6.0,3.0
MIDLAND,TX,6.0,3.0
MILAM,TX,6.0,3.0
MILLS,TX,6.0,3.0
MITCHELL,TX,6.0,3.0
MONTAGUE,TX,6.0,3.0
MONTGOMERY,TX,6.0,3.0
MOORE,TX,6.0,2.0
MORRIS,TX,6.0,3.0
MOTLEY,TX,6.0,3.0
NACOGDOCHES,TX,6.0,3.0
NAVARRO,TX,6.0,3.0
NEWTON,TX,6.0,3.0
NOLAN,TX,6.0,3.0
